- invocation: True
  version: 3.0
        158/432 [=========>....................] - ETA: 2:10 - loss: 7.4470 - acc: 0.5380
        160/432 [==========>...................] - ETA: 2:09 - loss: 7.4546 - acc: 0.5375
        162/432 [==========>...................] - ETA: 2:08 - loss: 7.4621 - acc: 0.5370
        164/432 [==========>...................] - ETA: 2:07 - loss: 7.4694 - acc: 0.5366
        166/432 [==========>...................] - ETA: 2:06 - loss: 7.3794 - acc: 0.5422
        168/432 [==========>...................] - ETA: 2:05 - loss: 7.3875 - acc: 0.5417
        170/432 [==========>...................] - ETA: 2:04 - loss: 7.3954 - acc: 0.5412
        172/432 [==========>...................] - ETA: 2:03 - loss: 7.4968 - acc: 0.5349
        174/432 [===========>..................] - ETA: 2:02 - loss: 7.5033 - acc: 0.5345
        176/432 [===========>..................] - ETA: 2:01 - loss: 7.5096 - acc: 0.5341
        178/432 [===========>..................] - ETA: 2:00 - loss: 7.4252 - acc: 0.5393
        180/432 [===========>..................] - ETA: 1:59 - loss: 7.4322 - acc: 0.5389
        182/432 [===========>..................] - ETA: 1:58 - loss: 7.3506 - acc: 0.5440
        184/432 [===========>..................] - ETA: 1:57 - loss: 7.3583 - acc: 0.5435
        186/432 [===========>..................] - ETA: 1:56 - loss: 7.3658 - acc: 0.5430
        188/432 [============>.................] - ETA: 1:55 - loss: 7.2874 - acc: 0.5479
        190/432 [============>.................] - ETA: 1:54 - loss: 7.3804 - acc: 0.5421
        192/432 [============>.................] - ETA: 1:53 - loss: 7.4714 - acc: 0.5365
        194/432 [============>.................] - ETA: 1:52 - loss: 7.4775 - acc: 0.5361
        196/432 [============>.................] - ETA: 1:51 - loss: 7.4012 - acc: 0.5408
        198/432 [============>.................] - ETA: 1:50 - loss: 7.4078 - acc: 0.5404
        200/432 [============>.................] - ETA: 1:49 - loss: 7.4949 - acc: 0.5350
        202/432 [=============>................] - ETA: 1:48 - loss: 7.5803 - acc: 0.5297
        204/432 [=============>................] - ETA: 1:47 - loss: 7.5850 - acc: 0.5294
        206/432 [=============>................] - ETA: 1:46 - loss: 7.5896 - acc: 0.5291
        208/432 [=============>................] - ETA: 1:45 - loss: 7.5166 - acc: 0.5337
        210/432 [=============>................] - ETA: 1:44 - loss: 7.5985 - acc: 0.5286
        212/432 [=============>................] - ETA: 1:43 - loss: 7.5268 - acc: 0.5330
        214/432 [=============>................] - ETA: 1:42 - loss: 7.5318 - acc: 0.5327
        216/432 [==============>...............] - ETA: 1:41 - loss: 7.6113 - acc: 0.5278
        218/432 [==============>...............] - ETA: 1:40 - loss: 7.6894 - acc: 0.5229
        220/432 [==============>...............] - ETA: 1:39 - loss: 7.6195 - acc: 0.5273
        222/432 [==============>...............] - ETA: 1:38 - loss: 7.5508 - acc: 0.5315
        224/432 [==============>...............] - ETA: 1:37 - loss: 7.5554 - acc: 0.5312
        226/432 [==============>...............] - ETA: 1:36 - loss: 7.5598 - acc: 0.5310
        228/432 [==============>...............] - ETA: 1:35 - loss: 7.4935 - acc: 0.5351
        230/432 [==============>...............] - ETA: 1:35 - loss: 7.4984 - acc: 0.5348
        232/432 [===============>..............] - ETA: 1:34 - loss: 7.5727 - acc: 0.5302
        234/432 [===============>..............] - ETA: 1:33 - loss: 7.5769 - acc: 0.5299
        236/432 [===============>..............] - ETA: 1:32 - loss: 7.6493 - acc: 0.5254
        238/432 [===============>..............] - ETA: 1:31 - loss: 7.7204 - acc: 0.5210
        240/432 [===============>..............] - ETA: 1:30 - loss: 7.7233 - acc: 0.5208
        242/432 [===============>..............] - ETA: 1:29 - loss: 7.7260 - acc: 0.5207
        244/432 [===============>..............] - ETA: 1:28 - loss: 7.7288 - acc: 0.5205
        246/432 [================>.............] - ETA: 1:27 - loss: 7.7314 - acc: 0.5203
        248/432 [================>.............] - ETA: 1:26 - loss: 7.6691 - acc: 0.5242
        250/432 [================>.............] - ETA: 1:25 - loss: 7.6077 - acc: 0.5280
        252/432 [================>.............] - ETA: 1:24 - loss: 7.6753 - acc: 0.5238
        254/432 [================>.............] - ETA: 1:23 - loss: 7.6783 - acc: 0.5236
        256/432 [================>.............] - ETA: 1:22 - loss: 7.6813 - acc: 0.5234
        258/432 [================>.............] - ETA: 1:21 - loss: 7.7467 - acc: 0.5194
        260/432 [=================>............] - ETA: 1:20 - loss: 7.7491 - acc: 0.5192
        262/432 [=================>............] - ETA: 1:19 - loss: 7.7515 - acc: 0.5191
        264/432 [=================>............] - ETA: 1:18 - loss: 7.6927 - acc: 0.5227
        266/432 [=================>............] - ETA: 1:17 - loss: 7.7561 - acc: 0.5188
        268/432 [=================>............] - ETA: 1:16 - loss: 7.8185 - acc: 0.5149
        270/432 [=================>............] - ETA: 1:15 - loss: 7.8203 - acc: 0.5148
        272/432 [=================>............] - ETA: 1:15 - loss: 7.7628 - acc: 0.5184
        274/432 [==================>...........] - ETA: 1:14 - loss: 7.8237 - acc: 0.5146
        276/432 [==================>...........] - ETA: 1:13 - loss: 7.8839 - acc: 0.5109
        278/432 [==================>...........] - ETA: 1:12 - loss: 7.8851 - acc: 0.5108
        280/432 [==================>...........] - ETA: 1:11 - loss: 7.8288 - acc: 0.5143
        282/432 [==================>...........] - ETA: 1:10 - loss: 7.8304 - acc: 0.5142
        284/432 [==================>...........] - ETA: 1:09 - loss: 7.8320 - acc: 0.5141
        286/432 [==================>...........] - ETA: 1:08 - loss: 7.7773 - acc: 0.5175
        288/432 [===================>..........] - ETA: 1:07 - loss: 7.7792 - acc: 0.5174
        290/432 [===================>..........] - ETA: 1:06 - loss: 7.7256 - acc: 0.5207
        292/432 [===================>..........] - ETA: 1:05 - loss: 7.7831 - acc: 0.5171
        294/432 [===================>..........] - ETA: 1:04 - loss: 7.7849 - acc: 0.5170
        296/432 [===================>..........] - ETA: 1:03 - loss: 7.7868 - acc: 0.5169
        298/432 [===================>..........] - ETA: 1:02 - loss: 7.7886 - acc: 0.5168
        300/432 [===================>..........] - ETA: 1:01 - loss: 7.7367 - acc: 0.5200
        302/432 [===================>..........] - ETA: 1:00 - loss: 7.7388 - acc: 0.5199
        304/432 [====================>.........] - ETA: 59s - loss: 7.7409 - acc: 0.5197 
        306/432 [====================>.........] - ETA: 58s - loss: 7.7430 - acc: 0.5196
        308/432 [====================>.........] - ETA: 58s - loss: 7.7974 - acc: 0.5162
        310/432 [====================>.........] - ETA: 57s - loss: 7.7991 - acc: 0.5161
        312/432 [====================>.........] - ETA: 56s - loss: 7.8007 - acc: 0.5160
        314/432 [====================>.........] - ETA: 55s - loss: 7.8537 - acc: 0.5127
        316/432 [====================>.........] - ETA: 54s - loss: 7.8550 - acc: 0.5127
        318/432 [=====================>........] - ETA: 53s - loss: 7.9070 - acc: 0.5094
        320/432 [=====================>........] - ETA: 52s - loss: 7.9079 - acc: 0.5094
        322/432 [=====================>........] - ETA: 51s - loss: 7.8588 - acc: 0.5124
        324/432 [=====================>........] - ETA: 50s - loss: 7.9098 - acc: 0.5093
        326/432 [=====================>........] - ETA: 49s - loss: 7.9107 - acc: 0.5092
        328/432 [=====================>........] - ETA: 48s - loss: 7.9116 - acc: 0.5091
        330/432 [=====================>........] - ETA: 47s - loss: 7.9125 - acc: 0.5091
        332/432 [======================>.......] - ETA: 46s - loss: 7.8649 - acc: 0.5120
        334/432 [======================>.......] - ETA: 45s - loss: 7.8660 - acc: 0.5120
        336/432 [======================>.......] - ETA: 44s - loss: 7.8672 - acc: 0.5119
        338/432 [======================>.......] - ETA: 43s - loss: 7.8683 - acc: 0.5118
        340/432 [======================>.......] - ETA: 42s - loss: 7.9168 - acc: 0.5088
        342/432 [======================>.......] - ETA: 42s - loss: 7.9648 - acc: 0.5058
        344/432 [======================>.......] - ETA: 41s - loss: 7.9653 - acc: 0.5058
        346/432 [=======================>......] - ETA: 40s - loss: 8.0125 - acc: 0.5029
        348/432 [=======================>......] - ETA: 39s - loss: 7.9664 - acc: 0.5057
        350/432 [=======================>......] - ETA: 38s - loss: 7.9209 - acc: 0.5086
        352/432 [=======================>......] - ETA: 37s - loss: 7.9217 - acc: 0.5085
        354/432 [=======================>......] - ETA: 36s - loss: 7.9680 - acc: 0.5056
        356/432 [=======================>......] - ETA: 35s - loss: 8.0138 - acc: 0.5028
        358/432 [=======================>......] - ETA: 34s - loss: 7.9690 - acc: 0.5056
        360/432 [========================>.....] - ETA: 33s - loss: 7.9695 - acc: 0.5056
        362/432 [========================>.....] - ETA: 32s - loss: 7.9700 - acc: 0.5055
        364/432 [========================>.....] - ETA: 31s - loss: 7.9705 - acc: 0.5055
        366/432 [========================>.....] - ETA: 30s - loss: 7.9710 - acc: 0.5055
        368/432 [========================>.....] - ETA: 29s - loss: 7.9277 - acc: 0.5082
        370/432 [========================>.....] - ETA: 28s - loss: 7.9284 - acc: 0.5081
        372/432 [========================>.....] - ETA: 28s - loss: 7.9724 - acc: 0.5054
        374/432 [========================>.....] - ETA: 27s - loss: 7.9729 - acc: 0.5053
        376/432 [=========================>....] - ETA: 26s - loss: 7.9733 - acc: 0.5053
        378/432 [=========================>....] - ETA: 25s - loss: 7.9738 - acc: 0.5053
        380/432 [=========================>....] - ETA: 24s - loss: 8.0166 - acc: 0.5026
        382/432 [=========================>....] - ETA: 23s - loss: 8.0169 - acc: 0.5026
        384/432 [=========================>....] - ETA: 22s - loss: 8.0590 - acc: 0.5000
        386/432 [=========================>....] - ETA: 21s - loss: 8.0173 - acc: 0.5026
        388/432 [=========================>....] - ETA: 20s - loss: 8.0590 - acc: 0.5000
        390/432 [==========================>...] - ETA: 19s - loss: 8.0177 - acc: 0.5026
        392/432 [==========================>...] - ETA: 18s - loss: 7.9768 - acc: 0.5051
        394/432 [==========================>...] - ETA: 17s - loss: 7.9772 - acc: 0.5051
        396/432 [==========================>...] - ETA: 16s - loss: 7.9776 - acc: 0.5051
        398/432 [==========================>...] - ETA: 15s - loss: 7.9376 - acc: 0.5075
        400/432 [==========================>...] - ETA: 14s - loss: 7.9785 - acc: 0.5050
        402/432 [==========================>...] - ETA: 13s - loss: 7.9388 - acc: 0.5075
        404/432 [===========================>..] - ETA: 13s - loss: 7.9394 - acc: 0.5074
        406/432 [===========================>..] - ETA: 12s - loss: 7.9399 - acc: 0.5074
        408/432 [===========================>..] - ETA: 11s - loss: 7.9800 - acc: 0.5049
        410/432 [===========================>..] - ETA: 10s - loss: 7.9804 - acc: 0.5049
        412/432 [===========================>..] - ETA: 9s - loss: 7.9808 - acc: 0.5049 
        414/432 [===========================>..] - ETA: 8s - loss: 8.0201 - acc: 0.5024
        416/432 [===========================>..] - ETA: 7s - loss: 7.9816 - acc: 0.5048
        418/432 [============================>.] - ETA: 6s - loss: 8.0205 - acc: 0.5024
        420/432 [============================>.] - ETA: 5s - loss: 8.0207 - acc: 0.5024
        422/432 [============================>.] - ETA: 4s - loss: 8.0209 - acc: 0.5024
        424/432 [============================>.] - ETA: 3s - loss: 8.0210 - acc: 0.5024
        426/432 [============================>.] - ETA: 2s - loss: 8.0212 - acc: 0.5023
        428/432 [============================>.] - ETA: 1s - loss: 8.0214 - acc: 0.5023
        430/432 [============================>.] - ETA: 0s - loss: 8.0216 - acc: 0.5023
        432/432 [==============================] - 223s 517ms/step - loss: 8.0590 - acc: 0.5000 - val_loss: 8.0590 - val_acc: 0.5000
        Epoch 3/3
        
          2/432 [..............................] - ETA: 3:18 - loss: 8.0590 - acc: 0.5000
          4/432 [..............................] - ETA: 3:16 - loss: 8.0590 - acc: 0.5000
          6/432 [..............................] - ETA: 3:15 - loss: 8.0590 - acc: 0.5000
          8/432 [..............................] - ETA: 3:14 - loss: 8.0590 - acc: 0.5000
         10/432 [..............................] - ETA: 3:13 - loss: 8.0590 - acc: 0.5000
         12/432 [..............................] - ETA: 3:12 - loss: 6.7159 - acc: 0.5833
         14/432 [..............................] - ETA: 3:12 - loss: 6.9078 - acc: 0.5714
         16/432 [>.............................] - ETA: 3:11 - loss: 7.0517 - acc: 0.5625
         18/432 [>.............................] - ETA: 3:10 - loss: 7.1636 - acc: 0.5556
         20/432 [>.............................] - ETA: 3:09 - loss: 7.2531 - acc: 0.5500
         22/432 [>.............................] - ETA: 3:08 - loss: 8.0590 - acc: 0.5000
         24/432 [>.............................] - ETA: 3:07 - loss: 8.0590 - acc: 0.5000
         26/432 [>.............................] - ETA: 3:07 - loss: 8.0590 - acc: 0.5000
         28/432 [>.............................] - ETA: 3:06 - loss: 7.4834 - acc: 0.5357
         30/432 [=>............................] - ETA: 3:05 - loss: 7.5218 - acc: 0.5333
         32/432 [=>............................] - ETA: 3:04 - loss: 8.0590 - acc: 0.5000
         34/432 [=>............................] - ETA: 3:03 - loss: 8.0590 - acc: 0.5000
         36/432 [=>............................] - ETA: 3:02 - loss: 8.5068 - acc: 0.4722
         38/432 [=>............................] - ETA: 3:01 - loss: 8.9074 - acc: 0.4474
         40/432 [=>............................] - ETA: 3:00 - loss: 8.8650 - acc: 0.4500
         42/432 [=>............................] - ETA: 3:00 - loss: 8.4428 - acc: 0.4762
         44/432 [==>...........................] - ETA: 2:59 - loss: 8.0590 - acc: 0.5000
         46/432 [==>...........................] - ETA: 2:58 - loss: 8.0590 - acc: 0.5000
         48/432 [==>...........................] - ETA: 2:57 - loss: 7.7233 - acc: 0.5208
         50/432 [==>...........................] - ETA: 2:56 - loss: 7.7367 - acc: 0.5200
         52/432 [==>...........................] - ETA: 2:55 - loss: 7.4391 - acc: 0.5385
         54/432 [==>...........................] - ETA: 2:54 - loss: 7.1636 - acc: 0.5556
         56/432 [==>...........................] - ETA: 2:53 - loss: 7.1956 - acc: 0.5536
         58/432 [===>..........................] - ETA: 2:52 - loss: 7.2254 - acc: 0.5517
         60/432 [===>..........................] - ETA: 2:51 - loss: 7.2531 - acc: 0.5500
         62/432 [===>..........................] - ETA: 2:50 - loss: 7.2791 - acc: 0.5484
         64/432 [===>..........................] - ETA: 2:49 - loss: 7.5554 - acc: 0.5312
         66/432 [===>..........................] - ETA: 2:48 - loss: 7.3264 - acc: 0.5455
         68/432 [===>..........................] - ETA: 2:47 - loss: 7.5850 - acc: 0.5294
         70/432 [===>..........................] - ETA: 2:47 - loss: 7.8288 - acc: 0.5143
         72/432 [====>.........................] - ETA: 2:46 - loss: 7.8352 - acc: 0.5139
         74/432 [====>.........................] - ETA: 2:45 - loss: 8.0590 - acc: 0.5000
         76/432 [====>.........................] - ETA: 2:44 - loss: 8.2711 - acc: 0.4868
         78/432 [====>.........................] - ETA: 2:43 - loss: 8.2657 - acc: 0.4872
         80/432 [====>.........................] - ETA: 2:42 - loss: 8.0590 - acc: 0.5000
         82/432 [====>.........................] - ETA: 2:41 - loss: 8.0590 - acc: 0.5000
         84/432 [====>.........................] - ETA: 2:40 - loss: 8.0590 - acc: 0.5000
         86/432 [====>.........................] - ETA: 2:39 - loss: 7.8716 - acc: 0.5116
         88/432 [=====>........................] - ETA: 2:38 - loss: 8.0590 - acc: 0.5000
         90/432 [=====>........................] - ETA: 2:37 - loss: 7.8800 - acc: 0.5111
         92/432 [=====>........................] - ETA: 2:37 - loss: 7.8839 - acc: 0.5109
         94/432 [=====>........................] - ETA: 2:36 - loss: 7.7161 - acc: 0.5213
         96/432 [=====>........................] - ETA: 2:35 - loss: 7.5554 - acc: 0.5312
         98/432 [=====>........................] - ETA: 2:34 - loss: 7.4012 - acc: 0.5408
        100/432 [=====>........................] - ETA: 2:33 - loss: 7.4143 - acc: 0.5400
        102/432 [======>.......................] - ETA: 2:32 - loss: 7.4270 - acc: 0.5392
        104/432 [======>.......................] - ETA: 2:31 - loss: 7.4391 - acc: 0.5385
        106/432 [======>.......................] - ETA: 2:30 - loss: 7.6029 - acc: 0.5283
        108/432 [======>.......................] - ETA: 2:29 - loss: 7.7606 - acc: 0.5185
        110/432 [======>.......................] - ETA: 2:28 - loss: 7.6195 - acc: 0.5273
        112/432 [======>.......................] - ETA: 2:27 - loss: 7.4834 - acc: 0.5357
        114/432 [======>.......................] - ETA: 2:26 - loss: 7.6349 - acc: 0.5263
        116/432 [=======>......................] - ETA: 2:25 - loss: 7.6422 - acc: 0.5259
        118/432 [=======>......................] - ETA: 2:25 - loss: 7.6493 - acc: 0.5254
        120/432 [=======>......................] - ETA: 2:24 - loss: 7.6561 - acc: 0.5250
        122/432 [=======>......................] - ETA: 2:23 - loss: 7.6627 - acc: 0.5246
        124/432 [=======>......................] - ETA: 2:22 - loss: 7.6691 - acc: 0.5242
        126/432 [=======>......................] - ETA: 2:21 - loss: 7.5474 - acc: 0.5317
        128/432 [=======>......................] - ETA: 2:20 - loss: 7.6813 - acc: 0.5234
        130/432 [========>.....................] - ETA: 2:19 - loss: 7.6871 - acc: 0.5231
        132/432 [========>.....................] - ETA: 2:18 - loss: 7.8148 - acc: 0.5152
        134/432 [========>.....................] - ETA: 2:17 - loss: 7.8185 - acc: 0.5149
        136/432 [========>.....................] - ETA: 2:16 - loss: 7.8220 - acc: 0.5147
        138/432 [========>.....................] - ETA: 2:15 - loss: 7.9422 - acc: 0.5072
        140/432 [========>.....................] - ETA: 2:14 - loss: 8.0590 - acc: 0.5000
        142/432 [========>.....................] - ETA: 2:13 - loss: 8.0590 - acc: 0.5000
        144/432 [=========>....................] - ETA: 2:12 - loss: 7.9471 - acc: 0.5069
        146/432 [=========>....................] - ETA: 2:12 - loss: 8.0590 - acc: 0.5000
        148/432 [=========>....................] - ETA: 2:11 - loss: 8.0590 - acc: 0.5000
        150/432 [=========>....................] - ETA: 2:10 - loss: 8.1665 - acc: 0.4933
        152/432 [=========>....................] - ETA: 2:09 - loss: 8.0590 - acc: 0.5000
        154/432 [=========>....................] - ETA: 2:08 - loss: 8.1637 - acc: 0.4935
        156/432 [=========>....................] - ETA: 2:07 - loss: 8.2657 - acc: 0.4872
        158/432 [=========>....................] - ETA: 2:06 - loss: 8.3651 - acc: 0.4810
        160/432 [==========>...................] - ETA: 2:05 - loss: 8.2605 - acc: 0.4875
        162/432 [==========>...................] - ETA: 2:04 - loss: 8.2580 - acc: 0.4877
        164/432 [==========>...................] - ETA: 2:03 - loss: 8.3539 - acc: 0.4817
        166/432 [==========>...................] - ETA: 2:03 - loss: 8.2532 - acc: 0.4880
        168/432 [==========>...................] - ETA: 2:02 - loss: 8.2509 - acc: 0.4881
        170/432 [==========>...................] - ETA: 2:01 - loss: 8.2487 - acc: 0.4882
        172/432 [==========>...................] - ETA: 2:01 - loss: 8.1528 - acc: 0.4942
        174/432 [===========>..................] - ETA: 2:00 - loss: 8.1517 - acc: 0.4943
        176/432 [===========>..................] - ETA: 1:59 - loss: 8.2422 - acc: 0.4886
        178/432 [===========>..................] - ETA: 1:58 - loss: 8.1496 - acc: 0.4944
        180/432 [===========>..................] - ETA: 1:58 - loss: 8.0590 - acc: 0.5000
        182/432 [===========>..................] - ETA: 1:57 - loss: 7.9705 - acc: 0.5055
        184/432 [===========>..................] - ETA: 1:56 - loss: 7.9714 - acc: 0.5054
        186/432 [===========>..................] - ETA: 1:55 - loss: 7.9724 - acc: 0.5054
        188/432 [============>.................] - ETA: 1:54 - loss: 7.9733 - acc: 0.5053
        190/432 [============>.................] - ETA: 1:53 - loss: 7.9742 - acc: 0.5053
        192/432 [============>.................] - ETA: 1:52 - loss: 7.8912 - acc: 0.5104
        194/432 [============>.................] - ETA: 1:51 - loss: 7.8929 - acc: 0.5103
        196/432 [============>.................] - ETA: 1:50 - loss: 7.8946 - acc: 0.5102
        198/432 [============>.................] - ETA: 1:49 - loss: 7.8148 - acc: 0.5152
        200/432 [============>.................] - ETA: 1:48 - loss: 7.8173 - acc: 0.5150
        202/432 [=============>................] - ETA: 1:47 - loss: 7.7399 - acc: 0.5198
        204/432 [=============>................] - ETA: 1:46 - loss: 7.7430 - acc: 0.5196
        206/432 [=============>................] - ETA: 1:45 - loss: 7.8243 - acc: 0.5146
        208/432 [=============>................] - ETA: 1:45 - loss: 7.8266 - acc: 0.5144
        210/432 [=============>................] - ETA: 1:44 - loss: 7.9055 - acc: 0.5095
        212/432 [=============>................] - ETA: 1:43 - loss: 7.9830 - acc: 0.5047
        214/432 [=============>................] - ETA: 1:42 - loss: 7.9837 - acc: 0.5047
        216/432 [==============>...............] - ETA: 1:41 - loss: 7.9844 - acc: 0.5046
        218/432 [==============>...............] - ETA: 1:40 - loss: 7.9851 - acc: 0.5046
        220/432 [==============>...............] - ETA: 1:39 - loss: 8.0590 - acc: 0.5000
        222/432 [==============>...............] - ETA: 1:38 - loss: 8.0590 - acc: 0.5000
        224/432 [==============>...............] - ETA: 1:37 - loss: 8.0590 - acc: 0.5000
        226/432 [==============>...............] - ETA: 1:36 - loss: 8.0590 - acc: 0.5000
        228/432 [==============>...............] - ETA: 1:35 - loss: 8.0590 - acc: 0.5000
        230/432 [==============>...............] - ETA: 1:34 - loss: 8.0590 - acc: 0.5000
        232/432 [===============>..............] - ETA: 1:33 - loss: 7.9896 - acc: 0.5043
        234/432 [===============>..............] - ETA: 1:32 - loss: 7.9213 - acc: 0.5085
        236/432 [===============>..............] - ETA: 1:31 - loss: 7.9908 - acc: 0.5042
        238/432 [===============>..............] - ETA: 1:31 - loss: 7.9913 - acc: 0.5042
        240/432 [===============>..............] - ETA: 1:30 - loss: 8.0590 - acc: 0.5000
        242/432 [===============>..............] - ETA: 1:29 - loss: 7.9924 - acc: 0.5041
        244/432 [===============>..............] - ETA: 1:28 - loss: 8.0590 - acc: 0.5000
        246/432 [================>.............] - ETA: 1:27 - loss: 8.1246 - acc: 0.4959
        248/432 [================>.............] - ETA: 1:27 - loss: 8.1890 - acc: 0.4919
        250/432 [================>.............] - ETA: 1:26 - loss: 8.2525 - acc: 0.4880
        252/432 [================>.............] - ETA: 1:25 - loss: 8.2509 - acc: 0.4881
        254/432 [================>.............] - ETA: 1:24 - loss: 8.2494 - acc: 0.4882
        256/432 [================>.............] - ETA: 1:23 - loss: 8.2479 - acc: 0.4883
        258/432 [================>.............] - ETA: 1:22 - loss: 8.1840 - acc: 0.4922
        260/432 [=================>............] - ETA: 1:21 - loss: 8.1210 - acc: 0.4962
        262/432 [=================>............] - ETA: 1:20 - loss: 8.1206 - acc: 0.4962
        264/432 [=================>............] - ETA: 1:19 - loss: 8.1201 - acc: 0.4962
        266/432 [=================>............] - ETA: 1:18 - loss: 8.0590 - acc: 0.5000
        268/432 [=================>............] - ETA: 1:17 - loss: 8.0590 - acc: 0.5000
        270/432 [=================>............] - ETA: 1:16 - loss: 8.0590 - acc: 0.5000
        272/432 [=================>............] - ETA: 1:15 - loss: 8.0590 - acc: 0.5000
        274/432 [==================>...........] - ETA: 1:14 - loss: 8.0002 - acc: 0.5036
        276/432 [==================>...........] - ETA: 1:13 - loss: 7.9422 - acc: 0.5072
        278/432 [==================>...........] - ETA: 1:12 - loss: 8.0011 - acc: 0.5036
        280/432 [==================>...........] - ETA: 1:11 - loss: 8.0015 - acc: 0.5036
        282/432 [==================>...........] - ETA: 1:10 - loss: 7.9447 - acc: 0.5071
        284/432 [==================>...........] - ETA: 1:09 - loss: 7.9455 - acc: 0.5070
        286/432 [==================>...........] - ETA: 1:09 - loss: 7.8900 - acc: 0.5105
        288/432 [===================>..........] - ETA: 1:08 - loss: 7.8912 - acc: 0.5104
        290/432 [===================>..........] - ETA: 1:07 - loss: 7.9479 - acc: 0.5069
        292/432 [===================>..........] - ETA: 1:06 - loss: 7.8935 - acc: 0.5103
        294/432 [===================>..........] - ETA: 1:05 - loss: 7.8946 - acc: 0.5102
        296/432 [===================>..........] - ETA: 1:04 - loss: 7.9501 - acc: 0.5068
        298/432 [===================>..........] - ETA: 1:03 - loss: 8.0050 - acc: 0.5034
        300/432 [===================>..........] - ETA: 1:02 - loss: 7.9516 - acc: 0.5067
        302/432 [===================>..........] - ETA: 1:01 - loss: 7.9523 - acc: 0.5066
        304/432 [====================>.........] - ETA: 1:00 - loss: 7.9000 - acc: 0.5099
        306/432 [====================>.........] - ETA: 59s - loss: 7.9010 - acc: 0.5098 
        308/432 [====================>.........] - ETA: 58s - loss: 7.9021 - acc: 0.5097
        310/432 [====================>.........] - ETA: 58s - loss: 7.9031 - acc: 0.5097
        312/432 [====================>.........] - ETA: 57s - loss: 7.9041 - acc: 0.5096
        314/432 [====================>.........] - ETA: 56s - loss: 7.9051 - acc: 0.5096
        316/432 [====================>.........] - ETA: 55s - loss: 7.9060 - acc: 0.5095
        318/432 [=====================>........] - ETA: 54s - loss: 7.9070 - acc: 0.5094
        320/432 [=====================>........] - ETA: 53s - loss: 7.9079 - acc: 0.5094
        322/432 [=====================>........] - ETA: 52s - loss: 7.8588 - acc: 0.5124
        324/432 [=====================>........] - ETA: 51s - loss: 7.9098 - acc: 0.5093
        326/432 [=====================>........] - ETA: 50s - loss: 7.9107 - acc: 0.5092
        328/432 [=====================>........] - ETA: 49s - loss: 7.9608 - acc: 0.5061
        330/432 [=====================>........] - ETA: 48s - loss: 8.0102 - acc: 0.5030
        332/432 [======================>.......] - ETA: 47s - loss: 8.0590 - acc: 0.5000
        334/432 [======================>.......] - ETA: 46s - loss: 8.0590 - acc: 0.5000
        336/432 [======================>.......] - ETA: 45s - loss: 8.1070 - acc: 0.4970
        338/432 [======================>.......] - ETA: 44s - loss: 8.1544 - acc: 0.4941
        340/432 [======================>.......] - ETA: 43s - loss: 8.1065 - acc: 0.4971
        342/432 [======================>.......] - ETA: 42s - loss: 8.1062 - acc: 0.4971
        344/432 [======================>.......] - ETA: 41s - loss: 8.0590 - acc: 0.5000
        346/432 [=======================>......] - ETA: 40s - loss: 8.1056 - acc: 0.4971
        348/432 [=======================>......] - ETA: 40s - loss: 8.1517 - acc: 0.4943
        350/432 [=======================>......] - ETA: 39s - loss: 8.1512 - acc: 0.4943
        352/432 [=======================>......] - ETA: 38s - loss: 8.1964 - acc: 0.4915
        354/432 [=======================>......] - ETA: 37s - loss: 8.1501 - acc: 0.4944
        356/432 [=======================>......] - ETA: 36s - loss: 8.1496 - acc: 0.4944
        358/432 [=======================>......] - ETA: 35s - loss: 8.1041 - acc: 0.4972
        360/432 [========================>.....] - ETA: 34s - loss: 8.1038 - acc: 0.4972
        362/432 [========================>.....] - ETA: 33s - loss: 8.1036 - acc: 0.4972
        364/432 [========================>.....] - ETA: 32s - loss: 8.1033 - acc: 0.4973
        366/432 [========================>.....] - ETA: 31s - loss: 8.1471 - acc: 0.4945
        368/432 [========================>.....] - ETA: 30s - loss: 8.1904 - acc: 0.4918
        370/432 [========================>.....] - ETA: 29s - loss: 8.2333 - acc: 0.4892
        372/432 [========================>.....] - ETA: 28s - loss: 8.2324 - acc: 0.4892
        374/432 [========================>.....] - ETA: 27s - loss: 8.2314 - acc: 0.4893
        376/432 [=========================>....] - ETA: 26s - loss: 8.1876 - acc: 0.4920
        378/432 [=========================>....] - ETA: 25s - loss: 8.2296 - acc: 0.4894
        380/432 [=========================>....] - ETA: 24s - loss: 8.2287 - acc: 0.4895
        382/432 [=========================>....] - ETA: 23s - loss: 8.2278 - acc: 0.4895
        384/432 [=========================>....] - ETA: 22s - loss: 8.2689 - acc: 0.4870
        386/432 [=========================>....] - ETA: 21s - loss: 8.2261 - acc: 0.4896
        388/432 [=========================>....] - ETA: 21s - loss: 8.2252 - acc: 0.4897
        390/432 [==========================>...] - ETA: 20s - loss: 8.1830 - acc: 0.4923
        392/432 [==========================>...] - ETA: 19s - loss: 8.1824 - acc: 0.4923
        394/432 [==========================>...] - ETA: 18s - loss: 8.1818 - acc: 0.4924
        396/432 [==========================>...] - ETA: 17s - loss: 8.1812 - acc: 0.4924
        398/432 [==========================>...] - ETA: 16s - loss: 8.1805 - acc: 0.4925
        400/432 [==========================>...] - ETA: 15s - loss: 8.2202 - acc: 0.4900
        402/432 [==========================>...] - ETA: 14s - loss: 8.2194 - acc: 0.4900
